Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans,zh-Hant
2021.07.19-13.15.38,711,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0
2021.07.21-08.46.07,711,0,0,711,0,0,0,0,0,0,0,0,0,0,17,0
2022.01.14-19.06.02,3084,0,0,3084,0,0,0,0,0,0,0,0,0,0,10,0
2022.01.14-20.49.42,3970,0,0,3970,0,0,0,0,0,0,0,0,0,0,10,0
2022.01.14-22.20.14,3595,0,0,3595,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.17-23.41.28,3605,0,0,3605,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.19-03.31.16,3619,0,0,3619,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.19-03.31.28,3619,0,0,3617,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.19-07.28.26,3619,0,0,3619,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.19-18.23.48,4020,0,0,4020,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.19-20.54.22,4072,0,0,4072,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.20-09.04.32,4083,0,0,4083,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.20-21.02.18,4077,0,0,4077,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.21-04.47.25,3971,0,0,3971,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.21-20.39.27,3977,0,0,3977,0,0,0,0,0,0,0,0,0,0,7,0
2022.01.22-02.14.49,3976,0,0,3976,0,0,0,0,0,0,0,0,0,0,6,0
2022.01.22-02.15.02,3976,0,0,3972,0,0,0,0,0,0,0,0,0,0,6,0
2022.01.22-03.16.09,3976,0,0,3976,0,0,0,0,0,0,0,0,0,0,6,0
2022.01.24-05.59.06,4012,0,0,4012,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.24-05.59.19,4012,0,0,4010,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.24-08.35.49,4012,0,0,4012,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.24-20.36.08,4014,0,0,4014,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.25-17.46.05,4049,0,0,4049,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.26-14.32.02,4053,0,0,4053,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.26-14.32.15,4053,0,0,4041,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.26-15.53.31,4055,0,0,4055,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.26-23.47.09,4053,0,0,4053,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.27-02.36.30,4055,0,0,4055,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.27-03.53.57,4053,0,0,4053,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.27-06.22.57,4062,0,0,4062,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.27-08.38.29,3051,0,0,3051,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.27-17.52.56,3063,0,0,3063,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.27-23.40.17,3069,0,0,3069,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-02.32.35,3077,0,0,3077,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-02.32.48,3077,0,0,3064,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-06.09.34,3077,0,0,3077,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-11.38.19,3082,0,0,3082,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-14.34.42,3091,0,0,3091,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-17.38.16,3093,0,0,3093,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-18.53.56,3097,0,0,3097,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-18.54.09,3097,0,0,3095,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-20.31.25,3097,0,0,3097,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-21.56.15,3090,0,0,3090,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-21.56.28,3090,0,0,3054,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.28-23.30.23,3090,0,0,3090,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.29-08.35.55,3088,0,0,3088,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.29-20.37.38,3097,0,0,3097,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.31-14.31.00,3102,0,0,3102,0,0,0,0,0,0,0,0,0,0,4,0
2022.01.31-16.53.21,3104,0,0,3104,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.01-14.40.54,3095,0,0,3095,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.01-17.49.59,3102,0,0,3102,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.01-23.35.37,3091,0,0,3091,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.02-02.38.38,3108,0,0,3108,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.02-06.18.06,3103,0,0,3103,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.02-11.36.27,3097,0,0,3097,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.02-17.56.08,3102,0,0,3102,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.02-20.34.50,3105,0,0,3105,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.03-20.40.11,3155,0,0,3155,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.03-20.40.24,3155,0,0,3148,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.03-21.43.56,3155,0,0,3155,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-02.35.37,3148,0,0,3148,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-06.18.43,3150,0,0,3150,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-11.35.32,3152,0,0,3152,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-17.41.19,3146,0,0,3146,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-20.39.31,3141,0,0,3141,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-20.39.44,3141,0,0,3140,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.04-23.36.48,3141,0,0,3141,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.05-02.37.23,3312,0,0,3312,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.05-06.14.48,3344,0,0,3344,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.05-08.32.02,3387,0,0,3387,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.07-17.48.19,3651,0,0,3651,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.07-20.32.34,3650,0,0,3650,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.08-06.27.04,3851,0,0,3851,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.08-23.35.51,3814,0,0,3814,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.09-20.35.57,3827,0,0,3827,0,0,0,0,0,0,0,0,0,0,4,0
